Year,Salinity,,,
1974,34.88428571,,4,34.08643794
1975,34.88761905,,5,33.3034415
1976,34.56861218,,6,32.80921486
1977,31.7269548,,7,31.98435375
1978,34.36471795,,8,32.37311368
1979,30.96930351,,9,31.75161018
1980,32.41648588,,10,32.38804647
1981,30.44430659,,11,32.71524453
1982,33.67075449,,12,33.07969478
1983,31.25720042,,13,33.1622029
1984,34.15148497,,14,33.61960515
1985,34.05247619,,15,34.75035328
1986,32.26655785,,16,34.55754656
1987,34.08329505,,17,34.7936317
1988,33.54421169,,18,34.72613163
1989,39.80522563,,19,34.70938045
1990,33.08844255,,20,33.40524505
1991,33.44698355,,21,33.35921464
1992,33.74579471,,22,33.39684418
1993,33.46045581,,23,33.41114519
1994,33.28454863,,24,33.44160302
1995,32.85829049,,25,33.4501263
1996,33.63513126,,26,33.26107686
1997,33.81729975,,27,33.06593168
1998,33.61274495,,28,32.97353892
1999,33.32716506,,29,33.04257498
2000,31.9130433,,30,33.0774655
2001,32.65940532,,31,33.30822034
2002,33.35533598,,32,33.51451176
2003,33.95792523,,33,33.51120381
2004,33.50161769,,34,33.33592008
2005,33.0668175,,35,33.25836503
2006,33.69086243,,36,33.33735796
2007,33.33879621,,37,33.17082222
2008,33.08150657,,38,32.9638935
2009,33.11384247,,39,32.84629437
2010,33.46178213,,40,31.71217774
2011,32.85818374,,41,31.43882394
2012,32.3041526,,42,31.39906426
2013,32.49351091,,43,31.53148856
2014,27.44325932,,44,30.72660027
2015,32.09501312,,45,31.98826935
2016,32.65938535,,,
2017,32.96627409,,,
2018,28.46906947,,,
2019,33.75160472,,,
Avg.,33.07721167,,,
