    Latitude,   Longitude, year, Temperature
59.815,5.591,2017,6.843
59.814,5.589,2017,6.954
59.808,5.589,2017,6.847
59.83,5.555,2017,7.292
59.942,5.466,2017,7.096
59.888,5.54,2017,6.975
59.83,5.556,2017,6.875
59.83,5.556,2017,7.208
59.831,5.557,2017,7.112
59.829,5.555,2017,6.972
59.83,5.554,2017,7.287
59.83,5.555,2017,7.159
59.83,5.555,2017,7.218
59.984,5.277,2017,7.279
59.944,4.136,2017,8.408
59.799,4.305,2017,8.426
59.701,4.124,2017,8.459
59.665,3.999,2017,7.955
59.465,3.913,2017,7.508
59.313,3.791,2017,7.574
59.258,4.116,2017,7.811
59.264,4.544,2017,7.798
59.173,4.912,2017,7.981
59.014,5.116,2017,7.601
58.908,4.921,2017,7.871
58.89,4.517,2017,7.807
58.814,4.118,2017,7.65
58.723,3.893,2017,7.871
58.34,4.116,2017,8.846
58.442,4.291,2017,7.571
58.524,4.674,2017,7.385
58.654,4.978,2017,7.617
58.634,5.205,2017,7.427
58.64,5.347,2017,7.407
58.595,5.54,2017,7.423
58.375,5.405,2017,7.436
58.327,5.313,2017,7.398
58.336,5.005,2017,7.455
58.563,5.57,2017,7.669
58.248,4.7,2017,7.24
58.157,4.717,2017,7.473
58.069,4.74,2017,7.452
57.979,5.391,2017,7.024
58.073,5.477,2017,6.762
58.331,5.739,2017,7.712
58.319,5.94,2017,7.357
58.193,6.308,2017,7.425
58.162,6.558,2017,7.162
57.989,6.34,2017,7.019
58.025,6.065,2017,6.319
57.945,5.891,2017,6.894
57.882,5.636,2017,6.843
57.792,5.774,2017,6.783
57.68,5.855,2017,6.715
57.654,6.266,2017,6.51
52.391,4.197,2017,6.3535
52.422,4.479,2017,5.535
57.681,6.42,2017,6.491
52.562,4.496,2017,5.9308
52.566,4.18,2017,6.633
52.588,3.823,2017,7.5979
52.591,3.595,2017,7.8847
57.723,6.635,2017,6.038
52.586,3.176,2017,8.4677
52.423,3.17,2017,8.3047
57.66,6.779,2017,6.135
52.417,3.473,2017,7.7606
57.528,6.953,2017,6.477
52.416,3.829,2017,7.3775
52.278,3.793,2017,7.0044
52.252,3.503,2017,7.5811
57.461,7.089,2017,6.704
52.254,3.166,2017,8.0802
52.249,2.841,2017,8.6467
57.436,7.425,2017,6.656
52.245,2.555,2017,8.7686
52.092,2.498,2017,8.7477
57.509,7.416,2017,6.383
52.09,2.176,2017,8.8161
51.924,2.168,2017,8.7597
57.572,7.497,2017,6.241
51.749,2.169,2017,8.6982
51.606,2.113,2017,8.7089
51.584,1.868,2017,7.8115
57.678,7.503,2017,5.746
51.584,1.664,2017,7.8342
51.419,1.756,2017,6.2625
51.258,1.652,2017,6.8117
57.703,7.884,2017,6.446
51.103,1.49,2017,7.0302
50.914,1.184,2017,7.8265
50.763,1.148,2017,8.5984
57.629,7.891,2017,6.865
50.751,0.832,2017,8.7075
50.617,0.512,2017,9.041
50.584,0.165,2017,9.3209
57.59,7.897,2017,6.52
57.502,7.934,2017,6.401
57.463,8.029,2017,6.263
57.581,8.44,2017,6.432
57.627,8.46,2017,6.488
57.721,8.375,2017,6.183
57.709,8.871,2017,6.506
57.794,8.959,2017,6.368
57.852,9.051,2017,6.082
57.878,8.977,2017,6.065
57.92,8.967,2017,6.021
50.397,0.122,2017,10.0808
50.271,0.165,2017,10.0501
50.087,0.172,2017,9.9258
57.936,9.247,2017,6.135
57.915,9.23,2017,6.302
50.085,0.506,2017,9.3503
57.888,9.386,2017,6.345
50.237,0.492,2017,9.1705
50.414,0.488,2017,9.2343
57.949,9.458,2017,6.247
50.515,0.755,2017,8.4776
50.404,0.802,2017,8.2617
50.252,0.839,2017,8.4612
50.082,0.845,2017,8.3695
57.997,9.556,2017,6.195
50.086,1.152,2017,7.481
50.22,1.163,2017,7.32
50.389,1.153,2017,7.9993
50.399,1.298,2017,8.0848
50.542,1.337,2017,7.6549
50.567,1.179,2017,7.7502
50.723,1.407,2017,7.7435
50.897,1.506,2017,7.0021
51.008,1.666,2017,6.6303
